1594342528,7,102,0
1594351232,65,94,0
1594368128,112,123,1
1594382464,61,111,0
1594397440,86,99,1
1594403968,8,105,0
1594425984,89,102,1
1598332416,50,22,1
1598333440,39,3,0
1598334208,43,20,1
1598334976,20,69,1
1598335616,39,6,0
1598336256,72,106,1
1598336768,33,22,1
1598340736,113,109,0
1598341760,55,29,1
1598342784,95,110,0
1598343680,46,81,1
1598344576,47,23,1
1598345472,80,114,0
1598346240,53,110,1
1598350336,71,103,1
1598351616,16,41,0
1598352896,53,35,1
1598354176,53,29,1
1598355200,60,27,1
1598356224,38,4,1
1598356992,63,115,1
1598364416,61,25,1
1598365568,67,108,0
1598366848,48,90,1
1598368000,90,118,0
1598369280,48,99,1
1598371072,25,28,1
1598372992,98,102,1
1598379008,81,122,0
1598380288,58,28,0
1598381696,21,69,0
1598383360,39,120,0
1598384896,76,111,1
1598385792,68,113,1
1598386944,32,3,1
1598392832,66,29,1
1598394240,13,36,1
1598395392,10,31,0
1598396416,50,29,0
1598397184,45,23,0
1598398080,26,67,0
1598398848,40,60,0
1598404864,66,28,1
1598405632,64,19,1
1598406656,38,28,0
1598407424,76,116,0
1598408192,14,28,0
1598408960,40,89,0
1598410112,117,105,0
1598415744,39,75,1
1598416640,19,78,1
1598417408,43,27,0
1598418432,44,79,1
1598419456,94,101,0
1598420608,22,26,1
1598422016,16,30,1
1598427392,14,37,1
1598428416,51,110,1
1598429184,126,109,1
1598430080,34,96,0
1598431744,73,26,1
1598433152,67,3,1
1598434432,41,113,0
1598439552,41,29,0
1598441216,99,103,0
1598442880,70,91,1
1598444288,64,30,1
1598445568,94,104,1
1598446080,108,122,0
1598447232,49,126,0
1598448128,71,121,1
1598449664,16,93,0
1598451712,62,98,0
1598453504,55,86,1
1598454016,92,110,1
1598455296,95,99,0
1598456704,78,110,1
1598457856,25,9,1
1598459136,63,96,0
1598461312,48,109,0
1598463104,36,89,1
1598464640,69,89,1
1598470528,113,109,0
1598472192,60,92,0
1598473728,38,8,0
1598475008,56,49,1
1598476416,61,100,1
1598476672,21,76,0
1598477568,35,8,1
1598478464,58,31,0
1598480000,65,26,0
1598481408,45,114,0
1598482816,117,115,0
1598484096,101,110,1
1598485248,77,36,1
1598490368,65,27,0
1598491520,7,31,1
1598492800,101,116,1
1598494080,48,28,1
1598495232,34,93,1
1598496000,53,54,1
1598497024,79,98,1
1598502016,55,110,0
1598503168,45,58,1
1598504192,60,33,0
1598505088,56,89,0
1598505856,80,35,1
1598506240,36,77,0
1598507008,15,31,0
1598507776,119,112,1
1598508544,57,54,1
1598509568,67,30,0
1598510976,76,27,0
1598511488,125,107,0
1598512512,52,26,1
1598513408,111,105,0
1598514432,51,27,1
1598515328,47,58,1
1598516096,13,33,0
1598516480,60,83,1
1598517248,67,0,0
1598518016,59,4,0
1598518912,37,59,1
1598519936,9,98,1
1598527104,104,108,1
1598527616,24,24,0
1598528384,70,25,1
1598529536,31,46,0
1598530944,59,17,1
1598532096,71,25,1
1598533120,76,29,0
1598537472,107,99,1
1598538240,18,31,0
1598539264,105,107,1
1598540416,127,112,1
1598542080,118,102,0
1598543488,33,48,0
1598544896,88,39,1
1598550528,46,98,0
1598552704,58,124,0
1598554624,60,88,1
1598555904,12,35,0
1598557312,85,39,1
1598557696,57,123,0
1598558848,22,30,0
1598559872,26,53,0
1598562304,110,102,1
1598564352,52,106,1
1598566016,92,27,1
1598566656,124,125,1
1598567936,110,111,1
1598569216,117,116,0
1598571904,112,98,1
1598574080,122,109,0
1598575744,113,101,0
1598576384,116,124,0
1598577792,78,2,1
1598578944,44,10,1
1598580864,109,100,0
1598583168,22,76,1
1598585344,12,32,1
1598585856,50,111,0
1598587392,76,111,1
1598588672,70,98,1
1598590080,47,102,0
1598592256,115,101,0
1598594688,68,76,1
1598595456,50,107,1
1598596992,54,121,0
1598598016,74,32,0
1598599552,53,98,0
1598601344,59,30,1
1598603648,26,52,1
1598604800,12,35,1
1598606336,23,96,1
1598607616,68,102,1
1598608640,71,4,0
1598609664,75,3,0
1598611200,71,88,0
1598611840,68,125,0
1598613504,58,31,1
1598614912,111,101,1
1598616192,111,103,1
1598617088,75,34,0
1598619520,66,90,0
1598620416,122,114,1
1598621952,100,110,0
1598623232,115,111,0
1598624512,35,28,0
1598625536,15,32,1
1598626688,77,51,1
1598627456,63,40,0
1598628352,81,3,0
